"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0029061","Threonylglycine","HMDB0029061","7010575",NA,"C[C@@H](O)[C@H](N)C(=O)NCC(O)=O","1"
"HMDB0028795","Glutaminylglutamine","HMDB0028795","7010587",NA,"N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(O)=O","1"
"HMDB0028829","Glutamylthreonine","HMDB0028829","6998031",NA,"C[C@@H](O)[C@H](NC(=O)[C@@H](N)CCC(O)=O)C(O)=O","1"
"HMDB0028922","Leucylalanine","HMDB0028922","81721",NA,"CC(C)C[C@H](N)C(=O)N[C@@H](C)C(O)=O","1"
"HMDB0000033","Carnosine","HMDB0000033","439224","C00386","NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O","1"
"HMDB0029033","Serylarginine","HMDB0029033","25216635",NA,"N[C@@H](CO)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O","1"
"HMDB0000856","N-alpha-Acetyl-L-citrulline","HMDB0000856","656979","C15532","CC(=O)N[C@@H](CCCNC(N)=O)C(O)=O","1"
"HMDB0000446","N-alpha-Acetyl-L-lysine","HMDB0000446","92907","C12989","CC(=O)N[C@@H](CCCCN)C(O)=O","1"
"HMDB0029027","Prolyl-Threonine","HMDB0029027","18218237",NA,"CC(O)C(NC(=O)C1CCCN1)C(O)=O","1"
"HMDB0028686","Alanylglutamic acid","HMDB0028686","128841",NA,"C[C@H](N)C(=O)N[C@@H](CCC(O)=O)C(O)=O","1"
"HMDB0028790","Glutaminylalanine","HMDB0028790","9813211",NA,"C[C@H](NC(=O)[C@@H](N)CCC(N)=O)C(O)=O","1"
"HMDB0001138","N-Acetyl-L-glutamic acid","HMDB0001138","70914","C00624","CC(=O)N[C@@H](CCC(O)=O)C(O)=O","1"
"HMDB0029016","Prolyl-Glutamate","HMDB0029016","3563697",NA,"OC(=O)CCC(NC(=O)C1CCCN1)C(O)=O","1"
"HMDB0004620","N-a-Acetyl-L-arginine","HMDB0004620","67427",NA,"CC(=O)N[C@@H](CCCNC(N)=N)C(O)=O","1"
"HMDB0011172","gamma-Glutamylvaline","HMDB0011172","7015683",NA,"CC(C)[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O","1"
"HMDB0029132","Valyllysine","HMDB0029132","168058",NA,"CC(C)[C@H](N)C(=O)N[C@@H](CCCCN)C(O)=O","1"
"HMDB0028973","Methionyl-Glycine","HMDB0028973","259185",NA,"CSCCC(N)C(=O)NCC(O)=O","1"
"HMDB0028832","Glutamylvaline","HMDB0028832","6992567",NA,"CC(C)[C@H](NC(=O)[C@@H](N)CCC(O)=O)C(O)=O","1"
"HMDB0011180","Prolylproline","HMDB0011180","11622593",NA,"OC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1","1"
"HMDB0028695","Alanylproline","HMDB0028695","83525",NA,"C[C@H](N)C(=O)N1CCC[C@H]1C(O)=O","1"
"HMDB0028923","Leucyl-Arginine","HMDB0028923","3800205",NA,"CC(C)CC(N)C(=O)NC(CCCNC(N)=N)C(O)=O","1"
"HMDB0011171","gamma-Glutamylleucine","HMDB0011171","151023",NA,"CC(C)C[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O","1"
"HMDB0029140","Valylvaline","HMDB0029140","107475",NA,"CC(C)[C@H](N)C(=O)N[C@@H](C(C)C)C(O)=O","1"
"HMDB0029135","Valylproline","HMDB0029135","9837272",NA,"CC(C)[C@H](N)C(=O)N1CCC[C@H]1C(O)=O","1"
"HMDB0028963","Lysyltyrosine","HMDB0028963","7021820",NA,"NCCCC[C@H](N)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"HMDB0028927","Leucyl-Glutamine","HMDB0028927","4305457",NA,"CC(C)CC(N)C(=O)NC(CCC(N)=O)C(O)=O","1"
"HMDB0011174","Isoleucylproline","HMDB0011174","444876",NA,"CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1C(O)=O","1"
"HMDB0029065","Threonylleucine","HMDB0029065","7021827",NA,"CC(C)C[C@H](NC(=O)[C@@H](N)[C@@H](C)O)C(O)=O","1"
